"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:45:00,5.84 GiB,5.83 GiB,5.96 GiB,5.96 GiB,5.89 GiB,5.89 GiB,5.66 GiB,3.29 GiB,6.73 GiB,3.27 GiB,5.91 GiB,8.29 GiB,8.07 GiB,8.05 GiB
2025-05-13 09:45:30,6.61 GiB,6.44 GiB,6.24 GiB,6.17 GiB,6.29 GiB,6.53 GiB,6.12 GiB,3.28 GiB,6.97 GiB,3.28 GiB,6.49 GiB,9.46 GiB,9.23 GiB,8.75 GiB
2025-05-13 09:46:00,6.78 GiB,6.92 GiB,6.84 GiB,6.91 GiB,6.69 GiB,6.87 GiB,6.44 GiB,3.28 GiB,7.52 GiB,3.28 GiB,6.98 GiB,10.6 GiB,10.6 GiB,10.4 GiB
2025-05-13 09:46:30,7.21 GiB,7.13 GiB,7.11 GiB,7.15 GiB,7.12 GiB,7.12 GiB,6.82 GiB,3.29 GiB,7.86 GiB,3.28 GiB,7.14 GiB,11.9 GiB,11.2 GiB,11.2 GiB
2025-05-13 09:47:00,8.19 GiB,8.38 GiB,8.09 GiB,8.22 GiB,7.83 GiB,8.40 GiB,7.27 GiB,3.39 GiB,8.85 GiB,3.49 GiB,8.67 GiB,14.3 GiB,13.9 GiB,12.7 GiB
2025-05-13 09:47:30,9.30 GiB,9.22 GiB,9.33 GiB,9.38 GiB,9.02 GiB,9.59 GiB,8.74 GiB,3.35 GiB,9.78 GiB,3.31 GiB,9.65 GiB,17.5 GiB,16.8 GiB,15.6 GiB
2025-05-13 09:48:00,9.86 GiB,9.32 GiB,10.1 GiB,10.2 GiB,9.74 GiB,9.93 GiB,9.42 GiB,3.33 GiB,10.8 GiB,3.30 GiB,10.1 GiB,18.4 GiB,18.4 GiB,17.8 GiB
2025-05-13 09:48:30,10.6 GiB,10.2 GiB,11.0 GiB,10.8 GiB,10.7 GiB,10.0 GiB,10.00 GiB,3.32 GiB,11.3 GiB,3.31 GiB,10.7 GiB,19.0 GiB,19.7 GiB,18.8 GiB
2025-05-13 09:49:00,11.3 GiB,10.8 GiB,11.3 GiB,10.9 GiB,11.2 GiB,11.0 GiB,10.7 GiB,3.32 GiB,11.7 GiB,3.30 GiB,11.3 GiB,19.7 GiB,19.9 GiB,19.8 GiB
2025-05-13 09:49:30,11.4 GiB,10.9 GiB,11.4 GiB,11.4 GiB,11.4 GiB,11.8 GiB,11.0 GiB,3.32 GiB,12.3 GiB,3.31 GiB,11.9 GiB,21.1 GiB,21.4 GiB,21.2 GiB
2025-05-13 09:50:00,11.8 GiB,11.5 GiB,11.9 GiB,12.4 GiB,12.0 GiB,11.9 GiB,11.3 GiB,3.32 GiB,12.8 GiB,3.31 GiB,12.4 GiB,21.8 GiB,21.7 GiB,22.2 GiB
2025-05-13 09:50:30,12.3 GiB,12.4 GiB,12.9 GiB,13.0 GiB,12.6 GiB,12.1 GiB,12.0 GiB,3.31 GiB,13.3 GiB,3.32 GiB,12.8 GiB,22.1 GiB,22.7 GiB,22.9 GiB
2025-05-13 09:51:00,13.0 GiB,12.9 GiB,13.4 GiB,13.3 GiB,13.2 GiB,12.7 GiB,12.9 GiB,3.31 GiB,13.6 GiB,3.32 GiB,13.5 GiB,22.9 GiB,23.3 GiB,23.7 GiB
